title,link,time,text
"Sell MRF, target price Rs 75400: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/sell-mrf-target-price-rs-75400-motilal-oswal-financial-services/articleshow/99982381.cms,"May 4, 2023, 01:42 PM IST","MRF, incorporated in the year 1960, is a Large Cap company (having a market cap of Rs 40278.14 Crore) operating in Tyres sector."
"Motilal Oswal Financial Services neutral on Tata Steel, target price: Rs 110",https://economictimes.indiatimes.com/markets/stocks/recos/motilal-oswal-financial-services-neutral-on-tata-steel-target-price-rs-110/articleshow/99982235.cms,"May 4, 2023, 01:37 PM IST","Tata Steel key Products/Revenue Segments include Steel & Steel Products, Power, Other Operating Revenue and Others for the year ending 31-Mar-2022."
"Buy Titan Company, target price Rs 3080: Motilal Oswal Financial Services",https://economictimes.indiatimes.com/markets/stocks/recos/buy-titan-company-target-price-rs-3080-motilal-oswal-financial-services/articleshow/99982063.cms,"May 4, 2023, 01:31 PM IST","Titan Company, incorporated in the year 1984, is a Large Cap company (having a market cap of Rs 237296.36 Crore) operating in Gems and Jewellery sector."
"Hold Laurus Labs, target price Rs 323: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/hold-laurus-labs-target-price-rs-323-sharekhan-by-bnp-paribas/articleshow/99981870.cms,"May 4, 2023, 01:25 PM IST","Laurus Labs, incorporated in the year 2005, is a Mid Cap company (having a market cap of Rs 17134.49 Crore) operating in Pharmaceuticals sector."
"Buy Coforge, target price Rs 4900: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-coforge-target-price-rs-4900-sharekhan-by-bnp-paribas/articleshow/99981542.cms,"May 4, 2023, 01:17 PM IST",The brokerage maintains a Buy on Coforge with an unchanged PT of Rs 4900 as consistent deal wins and healthy order intake provides good revenue visibility and thus makes valuation of 21x FY25E EPS reasonable.
"Buy Trent, target price Rs 1550: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-trent-target-price-rs-1550-sharekhan-by-bnp-paribas/articleshow/99977785.cms,"May 4, 2023, 11:10 AM IST",Stock currently trades at 25.4x/20.7x its FY2024E/25E EV/EBIDTA.
"Buy Axis Bank, target price Rs 1140: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-axis-bank-target-price-rs-1140-sharekhan-by-bnp-paribas/articleshow/99976627.cms,"May 4, 2023, 10:25 AM IST","Axis Bank, incorporated in the year 1993, is a banking company (having a market cap of Rs 264532.35 Crore)."
"Buy Hindustan Unilever, target price Rs 2810: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-hindustan-unilever-target-price-rs-2810-sharekhan-by-bnp-paribas/articleshow/99976349.cms,"May 4, 2023, 10:15 AM IST","Hindustan Unilever, incorporated in the year 1933, is a Large Cap company (having a market cap of Rs 583215.54 Crore) operating in FMCG sector."
"Buy Canara Bank, target price Rs 335: Jayesh Bhanushali",https://economictimes.indiatimes.com/markets/stocks/recos/buy-canara-bank-target-price-rs-335-jayesh-bhanushali/articleshow/99976161.cms,"May 4, 2023, 10:06 AM IST","Canara Bank, incorporated in the year 1906, is a banking company (having a market cap of Rs 57870.76 Crore)."
"Buy Grasim Industries, target price Rs 1830: Jayesh Bhanushali",https://economictimes.indiatimes.com/markets/stocks/recos/buy-grasim-industries-target-price-rs-1830-jayesh-bhanushali/articleshow/99975936.cms,"May 4, 2023, 09:56 AM IST","Grasim Industries, incorporated in the year 1947, is a Large Cap company (having a market cap of Rs 114633.03 Crore) operating in Diversified sector."
"Buy PI Industries, target price Rs 3550: Jayesh Bhanushali",https://economictimes.indiatimes.com/markets/stocks/recos/buy-pi-industries-target-price-rs-3550-jayesh-bhanushali/articleshow/99975750.cms,"May 4, 2023, 09:50 AM IST","PI Industries, incorporated in the year 1946, is a Large Cap company (having a market cap of Rs 52184.21 Crore) operating in Pesticides/Agro Chemicals sector."
"Buy LTIMindtree, target price Rs 5100: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-ltimindtree-target-price-rs-5100-sharekhan-by-bnp-paribas/articleshow/99959177.cms,"May 3, 2023, 03:34 PM IST","LTIMindtree, incorporated in the year 1996, is a Large Cap company (having a market cap of Rs 133061.09 Crore) operating in IT Software sector."
"Buy UltraTech Cement, target price Rs 8400: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-ultratech-cement-target-price-rs-8400-sharekhan-by-bnp-paribas/articleshow/99958842.cms,"May 3, 2023, 03:24 PM IST","At CMP, the stock is trading at an EV/EBITDA of 14x its FY2025E earnings which we believe provides further room for upside."
"Hold Wipro, target price Rs 420: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/hold-wipro-target-price-rs-420-sharekhan-by-bnp-paribas/articleshow/99958503.cms,"May 3, 2023, 03:12 PM IST",The stock trades at 17.7x/15.6x FY24E/FY25E EPS.
"Buy Bajaj Finserv, target price Rs 1650: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-bajaj-finserv-target-price-rs-1650-sharekhan-by-bnp-paribas/articleshow/99957889.cms,"May 3, 2023, 02:52 PM IST","Bajaj Finserv, incorporated in the year 2007, is a Large Cap company (having a market cap of Rs 213978.83 Crore) operating in NBFC sector."
"Buy Kotak Mahindra Bank, target price Rs 2250: Sharekhan by BNP Paribas",https://economictimes.indiatimes.com/markets/stocks/recos/buy-kotak-mahindra-bank-target-price-rs-2250-sharekhan-by-bnp-paribas/articleshow/99955792.cms,"May 3, 2023, 01:36 PM IST",The stock is currently trading at 3.1x/2.7x its FY2024E/FY2025E Core BV. The near-term focus would be on the succession plans of MD and CEO.
,https://economictimes.indiatimes.com/markets/stocks/recos/buy-acc-target-price-rs-2110-hdfc-securities/articleshow/99955531.cms,"May 3, 2023, 01:22 PM IST","Promoters held 56.69 per cent stake in the company as of 31-Mar-2023, while FIIs owned 10.05 per cent, DIIs 19.42 per cent."
,https://economictimes.indiatimes.com/markets/stocks/recos/neutral-national-aluminium-company-target-price-rs-80-motilal-oswal-financial-services/articleshow/99955086.cms,"May 3, 2023, 01:07 PM IST",NACL is well placed and the stock trades at 4.1x FY24E EV/EBITDA and appears to be fully priced in.
,https://economictimes.indiatimes.com/markets/stocks/recos/buy-lampt-finance-holdings-target-price-rs-110-motilal-oswal-financial-services/articleshow/99954625.cms,"May 3, 2023, 12:51 PM IST",LTFH’s strong growth in retail and an accelerated rundown in wholesale are positive factors that will make the portfolio granular and improve consolidated profitability.
,https://economictimes.indiatimes.com/markets/stocks/recos/buy-vedant-fashions-target-price-rs-1435-motilal-oswal-financial-services/articleshow/99954395.cms,"May 3, 2023, 12:43 PM IST",The brokerage expects revenue/EBITDA CAGRs of 20%/21% over FY23-25 on the back of 15% growth in footprint addition and SSSG of ~5%.
,https://economictimes.indiatimes.com/markets/stocks/recos/motilal-oswal-financial-services-neutral-on-ambuja-cements-target-price-rs-390/articleshow/99953418.cms,"May 3, 2023, 12:12 PM IST","Promoters held 63.22 per cent stake in the company as of 31-Mar-2023, while FIIs owned 11.16 per cent, DIIs 14.42 per cent."
,https://economictimes.indiatimes.com/markets/stocks/recos/buy-varun-beverages-target-price-rs-1690-motilal-oswal-financial-services/articleshow/99953126.cms,"May 3, 2023, 12:03 PM IST","Varun Beverages, incorporated in the year 1995, is a Large Cap company (having a market cap of Rs 94052.76 Crore) operating in FMCG sector."
