0,1,2,3,4,5,6,7,8
1,ADF Foods Ltd.,1.58,1.51,-,1.51,1.51,24.77,abakkus-fund-sunil-singhania
2,AGI Greenpac Ltd.,1.86,1.86,1.86,1.86,1.86,49.78,abakkus-fund-sunil-singhania
3,Carysil Ltd.,-,6.14,6.14,6.14,6.05,96.52,abakkus-fund-sunil-singhania
4,DCM Shriram Industries Ltd.,2.98,2.98,2.98,2.98,2.98,18.12,abakkus-fund-sunil-singhania
5,H.G. Infra Engineering Ltd.,1.49,1.51,1.51,1.52,1.52,87.27,abakkus-fund-sunil-singhania
6,HIL Ltd.,2.72,3.05,3.13,3.12,3.14,63.98,abakkus-fund-sunil-singhania
7,Hindware Home Innovation Ltd.,3.65,4.83,4.95,4.88,4.89,136.44,abakkus-fund-sunil-singhania
8,IIFL Securities Ltd.,3.16,3.20,3.19,3.17,3.20,57.44,abakkus-fund-sunil-singhania
9,Ion Exchange (India) Ltd.,2.82,3.02,3.05,3.24,3.27,157.34,abakkus-fund-sunil-singhania
10,Mastek Ltd.,4.19,4.27,2.75,3.05,3.23,169.69,abakkus-fund-sunil-singhania
11,Polyplex Corporation Ltd.,1.37,1.37,-,-,-,0,abakkus-fund-sunil-singhania
12,Route Mobile Ltd.,2.80,2.84,2.69,2.58,2.58,204.72,abakkus-fund-sunil-singhania
13,Rupa & Company Ltd.,3.18,4.05,4.12,4.12,4.13,79.74,abakkus-fund-sunil-singhania
14,Sarda Energy & Minerals Ltd.,-,-,-,-,-,0,abakkus-fund-sunil-singhania
15,Saregama India Ltd.,1.35,1.10,-,-,-,0,abakkus-fund-sunil-singhania
16,Siyaram Silk Mills Ltd.,1.95,2.04,2.08,2.11,2.14,49.10,abakkus-fund-sunil-singhania
17,The Anup Engineering Ltd.,5.72,5.72,4.77,4.23,4.06,45.72,abakkus-fund-sunil-singhania
18,Xchanging Solutions Ltd.,-,-,-,-,-,0,abakkus-fund-sunil-singhania
19,Dynamatic Technologies Ltd.,2.48,2.48,2.48,2.62,2.83,56.22,abakkus-fund-sunil-singhania
20,Paras Defence And Space Technologies Ltd.,-,1.34,1.08,-,-,0,abakkus-fund-sunil-singhania
21,PSP Projects Ltd.,1.51,1.51,1.51,1.51,1.51,37.57,abakkus-fund-sunil-singhania
22,Rajshree Polypack Ltd.,7.81,7.81,7.62,-,7.57,12.95,abakkus-fund-sunil-singhania
23,Technocraft Industries (India) Ltd.,2.70,2.80,2.80,2.97,3.20,112.30,abakkus-fund-sunil-singhania
24,CMS Info Systems Ltd.,-,1.05,-,1.04,1.04,,abakkus-fund-sunil-singhania
25,Ethos Ltd.,-,1.30,-,1.30,1.30,,abakkus-fund-sunil-singhania
26,J Kumar Infraprojects Ltd.,-,2.65,2.65,2.65,2.65,54.68,abakkus-fund-sunil-singhania
27,Stylam Industries Ltd.,-,1.87,2.27,2.39,2.50,49.17,abakkus-fund-sunil-singhania
28,Jubilant Pharmova Ltd.,-,-,1.20,1.20,1.20,59.59,abakkus-fund-sunil-singhania
29,Tracxn Technologies Ltd.,-,-,1.62,1.62,1.27,,abakkus-fund-sunil-singhania
30,Dreamfolks Services Ltd.,-,-,-,1.82,1.82,,abakkus-fund-sunil-singhania
31,Uniparts India Ltd.,-,-,-,-,2.25,55.27,abakkus-fund-sunil-singhania
1,AGI Greenpac Ltd.,4.79,4.79,9.58,4.79,4.79,128.21,ashish-dhawan
2,Arvind Fashions Ltd.,4.96,4.95,4.94,4.94,4.94,185.10,ashish-dhawan
3,Birlasoft Ltd.,1.29,1.29,1.02,1.01,1.01,75.78,ashish-dhawan
4,Dish TV India Ltd.,1.57,1.57,1.57,1.57,1.57,45.10,ashish-dhawan
5,Glenmark Pharmaceuticals Ltd.,1.81,1.81,1.81,2.48,2.55,405.42,ashish-dhawan
6,Greenlam Industries Ltd.,5.65,3.99,3.79,3.79,3.79,139.67,ashish-dhawan
7,IDFC Ltd.,3.51,3.51,3.51,3.50,3.50,491.68,ashish-dhawan
8,Karur Vysya Bank Ltd.,2.45,1.30,-,-,-,0,ashish-dhawan
9,Max India Ltd.,-,-,-,-,-,0,ashish-dhawan
10,Palred Technologies Ltd.,6.97,6.97,6.42,5.54,5.54,8.76,ashish-dhawan
11,Quess Corp Ltd.,1.86,1.86,2.60,3.96,3.95,212.51,ashish-dhawan
12,RPSG Ventures Ltd.,4.63,4.63,4.18,4.18,4.18,48.17,ashish-dhawan
13,Zensar Technologies Ltd.,1.06,1.06,1.06,1.06,1.06,66.79,ashish-dhawan
14,Mahindra & Mahindra Financial Services Ltd.,1.18,1.18,1.18,1.18,1.18,377.60,ashish-dhawan
15,Equitas Small Finance Bank Ltd.,-,-,-,-,3.64,278.88,ashish-dhawan
1,ADF Foods Ltd.,1.09,1.04,1.04,1.04,1.04,17.06,ashish-kacholia
2,Ador Welding Ltd.,3.22,3.22,4.22,4.38,4.38,62.29,ashish-kacholia
3,Birlasoft Ltd.,-,-,-,-,-,0,ashish-kacholia
4,Carysil Ltd.,3.75,3.74,3.74,3.74,3.74,59.67,ashish-kacholia
5,Garware Hi-Tech Films Ltd.,3.72,3.72,3.98,4.00,4.17,53.40,ashish-kacholia
6,HLE Glascoat Ltd.,1.40,1.40,1.40,1.40,1.40,56.80,ashish-kacholia
7,IOL Chemicals And Pharmaceuticals Ltd.,1.97,1.97,1.97,1.97,-,0,ashish-kacholia
8,Mastek Ltd.,2.00,1.83,-,-,-,0,ashish-kacholia
9,Mold-Tek Packaging Ltd.,3.09,1.89,-,-,-,0,ashish-kacholia
10,NIIT Ltd.,2.24,2.24,2.23,2.23,2.23,108.32,ashish-kacholia
11,PCBL Ltd.,1.33,1.33,1.87,1.88,1.88,91.05,ashish-kacholia
12,Safari Industries (India) Ltd.,2.74,2.74,2.59,2.59,2.31,133.80,ashish-kacholia
13,Shaily Engineering Plastics Ltd.,6.54,6.54,6.54,6.54,6.54,69.44,ashish-kacholia
14,Vaibhav Global Ltd.,1.22,1.22,1.21,1.21,1.21,62.92,ashish-kacholia
15,Vishnu Chemicals Ltd.,4.19,3.38,-,-,-,0,ashish-kacholia
16,Beta Drugs Ltd.,-,-,-,5.72,5.78,43.34,ashish-kacholia
17,Faze Three Ltd.,4.66,5.04,5.09,5.09,5.23,46.53,ashish-kacholia
18,Hindware Home Innovation Ltd.,1.33,1.33,2.66,1.33,-,0,ashish-kacholia
19,Kwality Pharmaceuticals Ltd.,1.95,1.90,-,-,-,0,ashish-kacholia
20,Sastasundar Ventures Ltd.,1.88,1.88,1.88,1.88,1.88,14.34,ashish-kacholia
21,TARC Ltd.,1.50,1.50,1.86,2.22,2.22,32.79,ashish-kacholia
22,VRL Logistics Ltd.,1.37,1.37,-,-,-,0,ashish-kacholia
23,Xpro India Ltd.,3.57,3.89,4.40,4.45,4.33,62.01,ashish-kacholia
24,AMI Organics Ltd.,2.13,2.13,2.13,2.13,2.13,82.76,ashish-kacholia
